,Country code,Probability to Vote,Left-Right Placement,,Party name used in questionnaire,Party name in English,Mean Left-Right,"Mean EU integration
stance",Party code for vote choice in EP 2014,Party code for vote choice in EP 2014,Party Code in EMCS,Party Code in CHES,Party code in vote choice/id questions,,,
ES,1724,,,,CDC - Convergència Democràtica de Catalunya,Democratic Convergence of Catalonia,,,,,,,20,,7,8
ES,1724,,,,Unió - Unió Democràtica de Catalunya,Democratic Union of Catalonia,,,,,,,20,,9,10
ES,1724,,,,CxG - Compromiso por Galicia,Commitment / Compromise for Galicia,,,,,,,20,,11,12
ES,1724,,,,NECat - Nova Esquerra Catalana,New Left Catalan,,,,,,,20,,13,14
ES,1724,,,,EH Bildu - Euskal Herria Bildu,Basque Country Unite,,,,,,,20,,15,16
,,,,,,,,,,,,,,,,
Finland,,,,,,,,,,,,,,,,
FI,1246,qpp8_1,qpp14_1,,Kansallinen Kokoomus  (Kok),National Coalition,9.42,7.84,1246620,2,14620,1402,1246620,1,2,3
FI,1246,qpp8_2,qpp14_2,,Suomen Kristillisdemokraatit  (KD),Christian Democrats in Finland,7.17,5.88,1246520,8,14520,1409,1246520,2,8,9
FI,1246,qpp8_3,qpp14_3,,Suomen Sosialidemokraattinen Puolue  (SDP),Finnish Social Democrats,5.11,6.16,1246320,3,14320,1401,1246320,3,3,4
FI,1246,qpp8_4,qpp14_4,,Suomen Keskusta   (Kesk),Finnish Centre,7.11,5.83,1246810,1,14810,1403,1246810,4,1,2
FI,1246,qpp8_5,qpp14_5,,Ruotsalainen Kansanpuolue (SFP/RKP),Swedish People's Party,7.83,7.11,1246901,6,14901,1406,1246901,5,6,7
FI,1246,qpp8_6,qpp14_6,,Vihreä Liitto  (Vihr),Green Union,5.67,6.30,1246110,5,14110,1408,1246110,6,5,6
FI,1246,qpp8_7,qpp14_7,,Vasemmistoliitto  (Vas),Left Wing Alliance,2.68,4.97,1246223,4,14223,1404,1246223,8,4,5
FI,1246,qpp8_8,qpp14_8,,Perussuomalaiset   (Perus),True Finns,6.89,3.32,1246820,7,14701,1405,1246820,12,7,8
FI,1246,,,,Piraattipuolue,Pirate Party of Finland,,,,,,,20,7,,
FI,1246,,,,Suomen Kommunistinen Puolue (SKP),Communist Party of Finland,,,,,,,20,9,,
FI,1246,,,,Itsenäisyyspuolue,The Independence Party,,,,,,,20,10,,
FI,1246,,,,Muutos 2011 .,Change 2011,,,,,,,20,11,,
FI,1246,,,,Vapauspuolue (VP) - Suomen tulevaisuus r.p..,Freedom Party - Finland's Future,,,,,,,20,13,,
FI,1246,,,,Suomen Senioripuolue,Finnish Senior Citizens,,,,,,,20,14,,
FI,1246,,,,SuomenTyöväenpuolue,Workers' Party of Finland,,,,,,,20,15,,
FI,1246,,,,Rauhan ja Sosialismin puolesta - Kommunistinen Työväenpuolue,Communist Workers' Party - For Peace and Socialism,,,,,,,20,16,,
FI,1246,,,,Köyhien asialla,For the Poor,,,,,,,20,17,,
,,,,,,,,,,,,,,,,
France,,,,,,,,,,,,,,,,
FR,1250,qpp8_1,qpp14_1,qpp19_1,Union pour un mouvement populaire (UMP),Union for a Popular Movement,8.62,5.82,1250626,7,31645,609,1250626,1,8,9
FR,1250,qpp8_2,qpp14_2,qpp19_2,Parti socialiste (PS),Socialist Party,4.24,6.29,1250320,4,31320,602,1250320,2,4,5
FR,1250,qpp8_3,qpp14_3,qpp19_3,Front National  (FN),National Front,9.84,3.65,1250720,8,31720,610,1250720,3,9,10
FR,1250,qpp8_4,qpp14_4,qpp19_4,Europe Ecologie - Les Verts (EELV),Europe Ecology - The Greens,4.50,6.66,1250110,5,31112,605,1250110,5,6,7
FR,1250,qpp8_5,qpp14_5,qpp19_5,Front de Gauche (FdG) (Parti communiste ou Parti de Gauche),Left Front,2.24,5.21,1250223,3,31223,601+624,1250223,9,3,4
FR,1250,qpp8_6,qpp14_6,qpp19_6,Mouvement Démocrate-Union des démocrates et indépendants  (UDI/MoDem),Union of Democrats and Independents – UDI + MoDem,6.44,6.00,1250336,1,,613+,1250336***,,1,2
FR,1250,qpp8_7,qpp14_7,qpp19_7,Debout la République (DLR),Arise the Republic,7.71,4.61,1250636,9,,,1250636***,,10,11
FR,1250,qpp8_8,qpp14_8,qpp19_8,Nouveau parti anticapitaliste (NPA),New Anticapitalist Party,2.48,4.68,1250233,2,,,1250233***,,2,3
FR,1250,,,,Lutte ouvrière (LO),Workers' Struggle,,,20,6,,,20,,7,8
FR,1250,,,,Union pour les Outre-Mer (UOM),Union for Overseas,,,20,10,,,20,,11,12
FR,1250,,,,"Alliance des régionalistes, écologistes et progressistes des Outre-Mer régions et peuples solidaires  (ALE-RPS)","Alliance of Regionalists, Ecologists and Progressives of Overseas regions and Peoples' Solidarity",,,20,11,,,20,,12,13
FR,1250,,,,Nouvelle Donne,New Deal,,,20,12,,,20,,13,14
FR,1250,,,,Divers gauche,Miscellaneous Left,,,,,,,20,4,,
FR,1250,,,,Divers droite,Miscellaneous Right,,,,,,,20,6,,
FR,1250,,,,Nouveau centre,New Centre,,,,,,621,20,7,,
FR,1250,,,,Parti radical de gauche,Left Radical Party,,,,,,603,20,8,5,6
FR,1250,,,,Le Parti Radical,Radical Party,,,,,,622,20,10,,
FR,1250,,,,Mouvement Démocrate (MoDem),Democratic Movement,,,,,,,20,11,,
FR,1250,,,,Alliance centriste,Centrist Alliance,,,,,,,20,12,,
FR,1250,,,,Régionalistes,Regionalists,,,,,,,20,13,,
,,,,,,,,,,,,,,,,
Hungary,,,,,,,,,,,,,,,,
HU,1348,qpp8_1,qpp14_1,,Jobbik Magyarországért Mozgalom (JOBBIK),Jobbik,9.05,5.19,1348700,5,86701,2308,1348700,3,5,6
HU,1348,qpp8_2,qpp14_2,,Lehet Más a Politika (LMP),Politics Can Be Different,4.86,6.02,1348110,6,,2309,1348110,4,6,7
HU,1348,qpp8_3,qpp14_3,,Fidesz - Magyar Polgári Szövetség - Kereszténydemokrata Néppárt (FIDESZ-KDNP),FIDESZ-KDNP Alliance,9.09,5.79,1348421,4,86524,2302,1348421,2,4,5
HU,1348,qpp8_4,qpp14_4,,Magyar Szocialista Párt (MSZP),Hungarian Socialist Party,2.49,5.86,1348220,2,86220,2301,1348220***,,2,3
HU,1348,qpp8_5,qpp14_5,,Együtt 2014 - Párbeszéd Magyarországért,Together 2014 - Dialogue for Hungary,3.62,5.89,1348120,1,,2310,1348120***,,1,2
HU,1348,qpp8_6,qpp14_6,,Demokratikus Koalíció (DK),Democratic Coalition,3.09,5.78,1348330,3,,2311,1348330***,,3,4
,,,,,,,,,,,,,,,,
Ireland,,,,,,,,,,,,,,,,
IE,1372,qpp8_1,qpp14_1,,Fine Gael (FG),Family of the Irish,7.45,5.71,1372520,2,53520,702,1372520,1,2,3
IE,1372,qpp8_2,qpp14_2,,Labour Party (LP),Labour Party,4.90,5.57,1372320,3,53320,703,1372320,2,3,4
IE,1372,qpp8_3,qpp14_3,,Fianna Fail (FF),Soldiers of Destiny,7.60,5.74,1372620,1,53620,701,1372620,3,1,2
IE,1372,qpp8_4,qpp14_4,,Green Party (GP),Green Party,5.31,5.50,1372110,4,53110,705,1372110,4,4,5
IE,1372,qpp8_5,qpp14_5,,Sinn Fein (SF),Ourselves Alone,3.93,5.21,1372951,5,53951,707,1372951,5,5,6
IE,1372,qpp8_6,qpp14_6,,Socialist Party (SP),Socialist Party,3.20,5.16,1372220,6,53220,708,1372220,6,6,7
IE,1372,,,,Catholic Democrats (The National Party),Catholic Democrats (The National Party),,,20,7,,,,,,
IE,1372,,,,Direct Democracy Ireland,Direct Democracy Ireland,,,20,8,,,,,,
IE,1372,,,,Fis Nua,New Vision,,,20,9,,,20,8,8,9
IE,1372,,,,People Before Profit Alliance (PBP),People Before Profit Alliance (PBP),,,20,10,,709,,7,7,8
IE,1372,,,,South Kerry Independent Alliance (SKIA),South Kerry Independent Alliance (SKIA),,,,,,,20,9,9,10
IE,1372,,,,Worker's Party (WP),Worker's Party (WP),,,,,,,20,10,10,11
IE,1372,,,,United Left Alliance,United Left Alliance,,,,,,,20,11,11,12
IE,1372,,,,Christian Solidarity (CS),Christian Solidarity (CS),,,,,,,20,12,12,13
IE,1372,,,,Non Party/People's Convention (PC),Non Party/People's Convention (PC),,,,,,,,13,13,14
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,20,,,
IE,1372,,,,Non Party/Fis Nua (FN),New Vision,,,,,,,20,14,14,15
,,,,,,,,,,,,,,,,
Italy,,,,,,,,,,,,,,,,
IT,1380,qpp8_1,qpp14_1,,Partito Democratico (PD),Democratic Party,4.16,6.42,1380331,3,32331,837,1380331,1,3,4
IT,1380,qpp8_2,qpp14_2,,Forza Italia (Fi),Go Italy,8.70,5.62,1380610,4,32610,815,1380610***,,4,5
IT,1380,qpp8_3,qpp14_3,,Lega Nord,Northern League,8.27,4.64,1380720,2,32720,811,1380720,6,2,3
IT,1380,qpp8_4,qpp14_4,,Movimento 5 Stelle (MCS),Five Star Movement,5.49,4.88,1380956,8,,845,1380956,9,11,12
IT,1380,qpp8_5,qpp14_5,,Unione di Centro (UDC),Union for Christian and Center Democrats,6.36,6.10,1380001,,32523,814,1380523,11,6,7
IT,1380,qpp8_6,qpp14_6,,L’Altra Europa – Con Tsipras (Sinistra Ecologia e Liberta  (SEL) ),Left Ecology Movement,3.05,6.09,1380007,10,32333,803+838,1380007,2,13,14
IT,1380,qpp8_7,qpp14_7,,Nuovo Centro Destra (NCD),New Centre-Right,8.16,5.66,1380001,,,848,1380633***,,5,6
IT,1380,qpp8_8,qpp14_8,,Fratelli d'Italia - Centrodestra Nazionale,Brothers of Italy - National Centre-right,8.65,5.37,1380631,6,,844,1380631,7,8,9
IT,1380,,,,Italia dei Valori - Di Pietro (IdV),List di Pietro Italy of Values,,,1380902,1,32422,,1380902,13,1,2
IT,1380,,,,Coalition (Nuovo Centro Destra + Unión de Centro Democrático + Popolari per l'Italia) (Coal. (NCD+UDC+PPI)),Coalition NCD (1380633) +UDC (1380633)+PPI,,,1380001,5,,,,,,
IT,1380,,,,Südtiroler Volkspartei (Partito popolare sudtirolese) (SVP),South Tyrol People's Party,,,1380958,9,32912,827,1380958,4,12,13
IT,1380,,,,Il Popolo della Libertà (PDL),People of Freedom,,,,,32630,,1380630*,5,,
IT,1380,,,,Coalition Scelta Europea (Coal. Scelta Europea),European Choice,,,20,7,,,,,,
IT,1380,,,,Grande Sud–MpA,Great South-Movement for the Autonomies,,,,,,,20,8,,
IT,1380,,,,Scelta Civica con Monti per l'Italia (SC),Civic Choice,,,,,,846,20,10,9,10
IT,1380,,,,Rivoluzione Civile,Civil Revolution,,,,,,,20,12,,
IT,1380,,,,Popolari per l'Italia,Populars for Italy,,,,,,,20,,7,8
,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,
LT,1440,qpp8_1,qpp14_1,,Tėvynės sąjunga – Lietuvos krikščionys demokratai (TS-LKD),Homeland Union - Lithuanian Christian Democrats,8.65,5.82,1440620,8,88621,2506,1440620,1,8,9
LT,1440,qpp8_2,qpp14_2,,Lietuvos socialdemokratų partija  (LSDP),Lithuanian Social Democratic Party,3.86,6.95,1440320,5,88320,2501,1440320,2,5,6
LT,1440,qpp8_3,qpp14_3,,Lietuvos Respublikos liberalų sąjūdis  (LRLS),Liberal Movement,6.88,6.27,1440421,4,88423,2518,1440421,3,4,5
LT,1440,qpp8_4,qpp14_4,,Darbo Partija  (DP),Labour Party,4.38,5.07,1440322,1,88322,2516,1440322,4,1,2
LT,1440,qpp8_5,qpp14_5,,Partija “Tvarka ir teisingumas”  (TT),Order and Justice,5.20,5.06,1440621,7,88522,2515,1440621,6,7,8
LT,1440,qpp8_6,qpp14_6,,Lietuvos lenkų rinkimų akcija (LLRA (AWPL)),Election Action of Lithuania's Poles,4.28,3.63,1440952,3,88951,2507,1440952,9,3,4
LT,1440,qpp8_7,qpp14_7,,Lietuvos Valstiečių ir Žaliųjų Sąjunga (LVZS),Lithuanian Peasant and Greens Union,5.81,6.32,1440524,6,,2507,1440524,7,6,7
LT,1440,,,,Liberalų ir centro sąjunga,Liberal and Centre Union,,,,,88433,,1440420*,5,,
LT,1440,,,,Lietuvos žaliųjų partija (LZP),Lithuanian Green Party,,,20,2,,,20,,2,3
LT,1440,,,,"Liberalų ir centro sąjunga - Politinė partija ""Sąjunga TAIP"" (LiCS -TAIP)",Liberal and Centre Union - TAIP,,,,9,,,20,,9,10
LT,1440,,,,Drąsos Kelias,The Way of Courage,,,,,,2520,20,8,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Luxembourg,,,,,,,,,,,,,,,,
LU,1442,qpp8_1,qpp14_1,,Parti populaire chrétien social (CSV),Christian Social People's Party,7.65,6.79,1442520,5,23520,3801,1442520,1,1,2
LU,1442,qpp8_2,qpp14_2,,Parti ouvrier socialiste luxembourgeois (LSAP),Socialist Workers' Party,5.06,5.98,1442320,2,23320,3804,1442320,2,2,3
LU,1442,qpp8_3,qpp14_3,,Parti démocratique (DP),Democratic Party,6.76,5.52,1442420,3,23420,3803,1442420,3,3,4
LU,1442,qpp8_4,qpp14_4,,Les Verts (Déi Gréng),The Greens,4.88,5.88,1442113,1,23113,3802,1442113,4,4,5
LU,1442,qpp8_5,qpp14_5,,La Gauche (Déi Lénk),The Left,2.30,5.39,1442222,4,,3806,1442222,8,8,9
LU,1442,qpp8_6,qpp14_6,,Parti réformiste d'alternative démocratique (ADR),Alternative Democratic Reform Party,7.01,4.21,1442951,6,23951,3805,1442951,6,6,7
LU,1442,,,,Parti Communiste Luxembourgeois (KPL),Communist Party,,,,,,,1442220,9,9,10
LU,1442,,,,Parti Pirate du Luxembourg (Piratepartei Lëtzebuerg),Pirate Party of Luxembourg,,4.69,,,,,20,5,5,6
LU,1442,,,,Parti pour la démocratie intégrale (PID),Party for Full Democracy,,,,,,,20,7,7,8
,,,,,,,,,,,,,,,,
Latvia,,,,,,,,,,,,,,,,
LV,1428,qpp8_1,qpp14_1,,Vienotība (V),Unity,7.78,5.40,1428610,3,,2412,1428610,1,3,4
LV,1428,qpp8_2,qpp14_2,,Saskaņas Centrs,Harmony Centre (Concord Centre),3.64,4.25,1428317,4,87221,2410,1428317,2,4,5
LV,1428,qpp8_3,qpp14_3,,Nacionālā apvienība „Visu Latvijai!” – „Tēvzemei un Brīvībai/LNNK,For Fatherland and Freedom - National Independence Movement of Latvia,8.29,6.03,1428723,2,87723,2406,1428723,6,2,3
LV,1428,qpp8_4,qpp14_4,,Zaļo un Zemnieku savienība,Green and Farmers' Union,7.09,6.53,1428110,6,87110,2405,1428110,8,6,7
LV,1428,qpp8_5,qpp14_5,,Reformu partija,Reform Party,6.13,4.39,,,,,1428620,9,9,10
LV,1428,qpp8_6,qpp14_6,,"Tautas kustība ""No sirds Latvijai""",For Latvia from the Heart,,,,,,2413,,,,
LV,1428,qpp8_7,qpp14_7,,LKS : Latvijas Krievu savienība,Latvian Russian Union,5.99,2.81,1428901,1,,2402,1428901***,,1,2
LV,1428,,,,PCTVL - Par cilvēka tiesībām vienotā Latvijā,For Human Rights in a United Latvia,,,,,87951,,1428422*,5,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
LV,1428,,,,Šlesera Reformu partija LPP/LC,Latvia's First Party / Latvian Way,,,,,87424,,1428424*,10,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
LV,1428,,,,"""Saskaņa"" Sociāldemokrātiskā partija   (Saskaņa SDP)","Social Democratic Party ""Harmony""",,,,,,2410,,,,
LV,1428,,,,Latvijas Sociālistiskā partija (LSP),Socialist Party of Latvia,,,20,5,,,20,,5,6
LV,1428,,,,Alternative (Alternative),Alternative,,,20,7,,,20,,7,8
LV,1428,,,,Latvijas attīstībai (Latvijas attīstībai),Latvian Development,,,20,8,,,20,,8,9
LV,1428,,,,"""SUVERENITĀTE""",Sovereignty,,,20,9,,,,,,
LV,1428,,,,Latvijas Reģionu Apvienība,Latvian Association of Regions,,,20,10,,2414,,,,
LV,1428,,,,Latvijas Sociāldemokrātiskā strādnieku partija,Latvian Social Democratic Workers' Party,,,20,11,,,20,15,,
LV,1428,,,,"""Par prezidentālu republiku""",For A Presidential Republic,,,20,12,,,20,7,,
LV,1428,,,,Kristīgi demokrātiskā savienība,Christian Democratic Union,,,20,13,,,20,14,,
LV,1428,,,,Latvijas Atdzimšanas partija,Latvian Rebirth Party,,,20,14,,,20,,,
LV,1428,,,,Pēdējā partija,Last Party,,,,,,,20,16,,
LV,1428,,,,Tautas kontrole,People's Control,,,,,,,20,17,,
LV,1428,,,,"Partija ""Brīvība. Brīvs no bailēm, naida un dusmām""","Freedom. Free from fear, hate and anger",,,,,,,20,18,,
,,,,,,,,,,,,,,,,
Malta,,,,,,,,,,,,,,,,
MT,1470,qpp8_1,qpp14_1,,Partit Laburista,Labour Party,4.46,6.45,1470300,2,37320,3701,1470300,1,2,3
MT,1470,qpp8_2,qpp14_2,,Partit Nazzjonalista,Nationalist Party,8.11,6.86,1470500,1,37520,3702,1470500,2,1,2
MT,1470,qpp8_3,qpp14_3,,Alternattiva Demokratika,Democratic Alternative,5.97,6.57,1470100,3,,,1470100,3,3,4
,,,,,,,,,,,,,,,,
Netherlands,,,,,,,,,,,,,,,,
NL,1528,qpp8_1,qpp14_1,,Volkspartij voor Vrijheid en Democratie (VVD),People's Party for Freedom and Democracy,8.40,7.23,1528420,4,22420,1003,1528420,1,4,5
NL,1528,qpp8_2,qpp14_2,,Partij van de Arbeid  (PvdA),Labour Party,4.72,6.94,1528320,2,22320,1002,1528320,2,2,3
NL,1528,qpp8_3,qpp14_3,,Partij voor de Vrijheid  (PVV),Party of Freedom,8.61,2.19,1528600,6,22721,1017,1528600,3,6,7
NL,1528,qpp8_4,qpp14_4,,Socialistische Partij (SP),Socialist Party,3.37,4.71,1528220,3,22210,1014,1528220,4,3,4
NL,1528,qpp8_5,qpp14_5,,Christen-Democratisch Appèl (CDA),Christian Democratic Appeal,6.96,6.90,1528521,1,22521,1001,1528521,5,1,2
NL,1528,qpp8_6,qpp14_6,,Democraten 66 (D66),Democrats '66,6.25,7.77,1528330,8,22330,1004,1528330,6,8,9
NL,1528,qpp8_7,qpp14_7,,ChristenUnie,Christian Union,6.62,6.41,,,,,1528526*,7,,
NL,1528,qpp8_8,qpp14_8,,GroenLinks,Green Left,3.74,6.56,1528110,5,22110,1005,1528110,8,5,6
NL,1528,,,,ChristenUnie - Staatkundig Gereformeerde Partij (Coalition CU - SGP),Coalition CU - SGP,,,1528528,7,22225,1006+1016,1528528***,,7,8
NL,1528,,,,Partij voor de Dieren (PvdD),Party for the Animals,,,1528951,9,,1018,1528951,10,9,10
NL,1528,,,,50Plus,50Plus,,,20,10,,1020,20,11,10,11
NL,1528,,,,Staatkundig Gereformeerde Partij,Reformed Political Party,,,,,,,20,9,,
NL,1528,,,,Piratenpartij,Pirate Party of the Netherlands,,,,,,,20,12,,
,,,,,,,,,,,,,,,,
Poland,,,,,,,,,,,,,,,,
PL,1616,qpp8_1,qpp14_1,,Platforma Obywatelska,Civic Platform,6.67,7.73,1616435,3,92435,2603,1616435,1,3,4
PL,1616,qpp8_2,qpp14_2,,Polskie Stronnictwo Ludowe,Polish People's Party,5.50,6.47,1616811,5,92811,2606,1616811,2,5,6
PL,1616,qpp8_3,qpp14_3,,Sojusz Lewicy Demokratycznej,Democratic Left Alliance,2.99,6.88,1616210,2,92210,2601,1616210,3,2,3
PL,1616,qpp8_4,qpp14_4,,Prawo i Sprawiedliwość,Law and Justice,8.32,5.51,1616436,7,92436,2605,1616436,4,7,8
PL,1616,qpp8_5,qpp14_5,,Twój Ruch,Your Movement,4.80,6.63,1616310,4,,2613,1616310***,,4,5
PL,1616,qpp8_6,qpp14_6,,Nowa Prawica,Congress of the New Right,8.24,5.31,1616001,6,,2614,1616001,8,6,7
PL,1616,qpp8_7,qpp14_7,,Solidarna Polska,United Poland,7.02,5.65,1616002,1,,2616,1616002***,,1,2
PL,1616,,,,Koalicja Europa Plus Twój Ruch,Europa Plus Social Movement,,,1616003,4,,,,,,
PL,1616,,,,Kolicja Sojusz Lewicy Demokratycznej i Unia Pracy,Coalition of the Democratic Left Alliance and the Union of Labour,,,,,,,,,,
PL,1616,,,,Polska Razem Jaroslawa Gowina,Poland Together,,,20,8,,2615,20,,8,9
PL,1616,,,,Ruch Narodowy,National Movement,,,20,9,,,20,,9,10
PL,1616,,,,Ruch Palikota,Palikot's Movement,,,,,,,20,5,,
PL,1616,,,,Mniejszość Niemiecka,German Minority,,,,,,,20,6,,
PL,1616,,,,Polska jest Najważniejsza,Poland Comes First,,,,,,,20,7,,
,,,,,,,,,,,,,,,,
Portugal,,,,,,,,,,,,,,,,
PT,1620,qpp8_1,qpp14_1,,Partido Social Democrata  (PSD),Social Democratic Party,8.71,5.93,,,35313,1206,1620313,2,5,6
PT,1620,qpp8_2,qpp14_2,,Centro Democrático e Social - Partido Popular (CDS-PP),Social Democratic Center-Popular Party,8.81,5.47,,,,1202,1620520,3,6,7
PT,1620,qpp8_3,qpp14_3,,Partido Socialista (PS),Socialist Party,5.22,6.68,1620311,3,35311,1205,1620311,4,4,5
PT,1620,qpp8_4,qpp14_4,,Coligação Democrática Unitária (CDU) or (PCP/PEV),Unified Democratic Coalition,2.96,5.79,1620229,2,35225,1201,1620229*,5,,
PT,1620,qpp8_5,qpp14_5,,Bloco de Esquerda (BE),Left Bloc,2.90,5.87,1620211,1,35223,1208,1620211,6,1,2
PT,1620,qpp8_6,qpp14_6,,Partido da Terra (MPT),Earth Party,5.12,6.28,1620110,6,,1209,1620110***,,8,9
PT,1620,,,,Coalition (Partido Social Democrata + Centro Democrático Social/Partido Popular) (Coal. (PSD + CDS-PP)),Coalition PSD (1620313) + CDS-PP (1620520),,,1620314,4,35319,1202,1620314*,1,,
PT,1620,,,,Partido Popular Monárquico (PPM),Popular Monarchist Party,,,20,5,,,20,,7,8
PT,1620,,,,Partido Comunista dos Trabalhadores Portugueses/Movimento Reorganizativo do Partido do Proletariado (PCTP/MRPP),Portuguese Workers' Communist Party/Reorganized Movement of the Party of the Proletariat,,,,,,,20,7,,
PT,1620,,,,Partido pelos Animais e pela Natureza (PAN),Party for Animals and Nature,,,,,,,20,8,,
PT,1620,,,,Partido Comunista Português (PCP),Portuguese Communist Party,,,,,,,20,,2,3
PT,1620,,,,Partido Ecologista os Verdes (PEV),Ecologist Party 'The Greens',,,,,,,20,,3,4
,,,,,,,,,,,,,,,,
Romania,,,,,,,,,,,,,,,,
RO,1642,qpp8_1,qpp14_1,,Partidul Social Democrat (PSD),Social Democratic Party,3.50,6.20,,,,2701,1642300***,,1,2
RO,1642,qpp8_2,qpp14_2,,Partidul Naţional Liberal (PNL),National Liberal Party,7.54,6.92,1642401,2,93430,2705,1642401***,,4,5
RO,1642,qpp8_3,qpp14_3,,Partidul  Democrat Liberal (PDL),Democratic Liberal Party,7.72,5.53,1642400,3,93323,2704,1642400***,,5,6
RO,1642,qpp8_4,qpp14_4,,Partidul Poporului - Dan Diaconescu (PP-DD),People's Party - Dan Dianconescu,4.93,3.61,1642981,4,,2710,1642981,3,6,7
RO,1642,qpp8_5,qpp14_5,,Uniunea Democrată Maghiară din România (UDMR),Hungarian Democratic Alliance of Romania,4.51,3.77,1642900,5,93951,2706,1642900,4,7,8
RO,1642,qpp8_6,qpp14_6,,Partidul România Mare (PRM),Greater Romania Party,4.70,4.32,1642700,9,93712,,1642700,5,11,12
RO,1642,qpp8_7,qpp14_7,,Partidul Mişcarea Populară (PMP),People's Movement Party,7.12,4.00,1642503,6,,2711,1642503***,,8,9
RO,1642,qpp8_8,qpp14_8,,Forţa Civică (PFC),Civic Force,6.62,4.32,1642502,7,,,1642502***,,9,10
RO,1642,,,,ALIANȚA ELECTORALĂ PSD-UNPR-PC (PSD+PC+UNPR),Electoral Alliance PSD (1642300)-UNPR-PC (1642600),,,1642301,1,,2701+ 2702+2709,,,,
RO,1642,,,,PARTIDUL NAȚIONAL ȚĂRĂNESC CREȘTIN DEMOCRAT (PNTCD),Christian Democratic National Peasants' Party,,,1642800,8,,,1642800***,,10,11
RO,1642,,,,Partidul Conservator,Conservative Party,,,,,,2702,1642600***,,2,3
RO,1642,,,,PARTIDUL NOUA REPUBLICĂ,New Republic,,,20,10,,,20,,12,13
RO,1642,,,,PARTIDUL ECOLOGIST ROMÂN,Romanian Ecological Party,,,20,11,,,20,6,,
RO,1642,,,,PARTIDUL VERDE,Green Party,,,20,12,,,,,,
RO,1642,,,,PARTIDUL ALTERNATIVA SOCIALISTĂ,Socialist Alternative Party,,,20,13,,,,,,
RO,1642,,,,ALIANȚA NAȚIONALĂ A AGRICULTORILOR,National Alliance of Farmers,,,20,14,,,,,,
RO,1642,,,,PARTIDUL DREPTĂȚII SOCIALE,Social Justice Party,,,20,15,,,,,,
RO,1642,,,,Uniunea Social Liberala (USL: PSD+PNL+PC+UNPR),Social Liberal Union,,,,,,,20,1,,
RO,1642,,,,AlianTa România Dreapta (ARD: PDL+PNT-CD+FC),Right Romania Alliance,,,,,,,20,2,,
RO,1642,,,,Partidul Noua Generație Creștin Democrat,New Generation Party - Christian Democratic,,,,,,,20,7,,
RO,1642,,,,Uniunea Nationala pentru Progresul Romaniei,National Union for the Progress of Romania,,,,,,2709,20,,3,4
,,,,,,,,,,,,,,,,
Sweden,,,,,,,,,,,,,,,,
SE,1752,qpp8_1,qpp14_1,,Socialdemokratiska arbetarpartiet (SP),Social Democratic Labour Party,4.59,6.95,1752320,2,11320,1602,1752320,1,2,3
SE,1752,qpp8_2,qpp14_2,,Moderata samlingspartiet (M),Moderate Coalition Party,9.41,7.71,1752620,5,11620,1605,1752620,2,5,6
SE,1752,qpp8_3,qpp14_3,,Miljöpartiet de Gröna  (MP),Green Ecology Party,4.68,5.40,1752110,7,11110,1607,1752110,3,7,8
SE,1752,qpp8_4,qpp14_4,,Folkpartiet liberalerna (FP),Liberal People's Party,7.67,7.37,1752420,4,11420,1604,1752420,4,4,5
SE,1752,qpp8_5,qpp14_5,,Centerpartiet [C],Centre Party,7.32,6.62,1752810,3,11810,1603,1752810,5,3,4
SE,1752,qpp8_6,qpp14_6,,Sverigedemokraterna  (SD),Sweden Democrats,8.72,2.74,1752700,8,,1610,1752700,6,8,9
SE,1752,qpp8_7,qpp14_7,,Kristdemokraterna  (KD),Christian Democrats,8.13,6.45,1752520,6,11520,1606,1752520,7,6,7
SE,1752,qpp8_8,qpp14_8,,Vänsterpartiet  (VP),Left Party,2.12,4.12,1752220,1,11220,1601,1752220,8,1,2
SE,1752,,,,Feministiskt initiativ (FI),Feminist Initiative,,,1752953,9,,1612,1752953,10,9,10
SE,1752,,,,Junilistan,June List,,,1752952,10,,,,,,
SE,1752,,,,Piratpartiet (PP),Pirate Party,,,1752000,11,11953,1611,1752000,9,10,11
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Slovenia,,,,,,,,,,,,,,,,
SI,1705,qpp8_1,qpp14_1,,Pozitivna Slovenija (PS),Positive Slovenia,3.19,4.85,1705340,5,,2914,1705340,1,4,5
SI,1705,qpp8_2,qpp14_2,,Slovenska demokratska stranka (SDS),Slovenian Democratic Party,9.74,5.00,1705320,1,97320,2902,1705320,2,1,2
SI,1705,qpp8_3,qpp14_3,,Socialni demokrati (SD),Social Democratic Party,3.10,6.27,1705323,3,97321,2903,1705323,3,2,3
SI,1705,qpp8_4,qpp14_4,,Državljanska lista (DL),Civic List,5.00,4.65,1705450,8,,,1705450,4,6,7
SI,1705,qpp8_5,qpp14_5,,Demokraticna stranka upokojencev Slovenije (DESUS),Democratic Party of Pensioners of Slovenia,5.35,6.33,1705951,6,,2906,1705951,5,5,6
